1502	12	0	8	6	1	2	0	0	0	1	8	0	1	0	0	0	0	77	7	0	0
1505	1	2	5	0	0	0	0	0	0	5	7	0	1	0	0	0	0	4	4	0	0
1508	13	1	21	3	0	1	0	0	1	3	19	0	1	1	0	0	0	47	8	0	0
1705	1	0	0	0	0	1	0	0	0	2	5	0	0	0	0	0	0	3	6	0	0
1707	4	2	6	4	6	0	0	0	5	6	7	0	0	1	0	0	0	13	13	0	0
1709	3	0	6	0	1	0	0	0	1	6	7	0	0	0	0	0	0	15	12	0	0
1820	11	1	6	2	2	0	0	0	0	2	10	0	0	0	0	0	0	0	9	0	0
1853	5	1	10	1	0	2	0	0	0	36	6	0	0	0	0	0	0	37	10	0	0
1896	7	0	5	2	0	0	0	0	4	0	19	0	0	0	0	0	0	64	8	0	0
1939	3	0	5	3	0	1	1	0	4	9	27	0	0	0	0	0	0	7	5	0	0
1993	39	0	45	0	0	0	0	0	3	0	9	0	0	0	0	0	0	0	3	0	0
1995	18	0	47	8	2	1	0	0	0	1	0	0	0	0	0	0	0	1	2	0	0
1997	31	0	65	9	1	0	1	0	1	0	5	0	0	0	0	0	0	0	6	0	0
2050	16	0	23	2	1	0	1	0	3	0	3	0	0	0	0	0	0	4	4	0	0
2089	3	1	4	0	0	2	0	0	0	0	1	0	0	0	0	0	0	47	3	0	0
2149	4	1	4	2	2	0	0	0	0	1	3	0	0	0	0	0	0	1	3	0	0
2150	7	0	6	6	1	0	0	0	2	12	3	0	0	0	0	0	0	12	2	0	0
2151	2	0	4	4	2	0	0	0	0	10	2	0	0	0	0	0	0	10	4	0	0
2235	1	0	6	4	3	3	1	0	1	13	17	0	0	0	1	0	0	27	6	0	0
2389	16	2	9	2	0	1	1	0	4	0	5	0	0	0	0	0	0	0	5	0	0
2477	7	0	12	1	0	1	1	0	3	5	54	0	3	1	2	0	0	6	10	0	0
3441	2	0	21	1	0	0	0	0	0	0	24	0	1	0	0	0	0	0	9	0	0
3462	1	0	3	1	1	0	0	0	1	1	12	0	1	2	0	0	0	1	2	0	0
3492	18	1	19	5	3	2	0	0	4	30	11	0	0	0	0	0	0	38	9	0	0
3507	7	3	2	4	0	0	0	0	2	5	35	0	0	0	0	0	0	1	2	0	0
3509	2	0	3	1	0	1	0	0	0	2	4	0	0	0	0	0	0	1	1	0	0
3603	11	0	7	13	0	0	0	0	0	10	9	0	0	0	0	0	0	10	4	0	0
3605	15	0	3	7	0	0	1	0	0	11	5	0	0	0	0	0	0	11	0	0	0
3607	5	0	18	2	0	0	0	0	1	5	2	0	0	0	0	0	0	5	5	0	0
3757	2	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0
3843	9	2	18	1	0	1	0	0	0	0	8	0	0	0	0	0	0	80	4	0	0
3844	15	3	14	7	2	0	0	0	2	9	22	0	0	1	0	0	0	7	9	0	0
3846	10	0	19	5	2	1	0	0	2	4	21	0	0	0	0	0	0	20	11	0	0
3955	5	0	2	3	0	0	0	0	2	36	10	0	0	0	0	0	0	36	4	1	1
3987	2	0	1	2	0	0	0	0	4	3	7	0	0	0	0	0	0	2	5	0	0
3988	15	1	24	3	0	0	1	0	2	60	12	0	0	0	0	0	0	75	17	0	0
4011	2	1	2	4	0	0	7	0	1	2	16	0	0	5	0	0	0	0	4	0	0
4028	27	0	38	5	0	0	0	0	5	30	7	0	0	0	0	0	0	256	15	0	0
4030	64	4	66	9	1	1	0	0	3	37	5	0	1	0	0	0	0	82	17	0	0
4031	1	0	3	1	0	0	0	0	0	8	2	0	0	0	0	0	0	26	3	0	0
4054	3	0	9	1	0	1	0	0	0	2	0	0	0	0	0	0	0	24	0	0	0
4058	4	0	4	0	0	1	0	0	0	1	2	0	0	0	0	0	0	10	0	0	0
4093	0	1	0	1	0	0	1	0	1	2	3	0	0	0	0	0	0	0	0	0	0
4094	9	1	0	5	0	0	0	0	0	38	3	0	0	0	0	0	0	37	3	0	0
4095	4	1	9	3	0	1	0	0	0	4	3	0	0	0	0	0	0	4	8	0	0
4096	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
4118	1	0	0	3	0	0	0	0	4	1	7	0	0	0	0	0	0	0	1	0	0
4147	10	0	9	6	9	1	0	0	11	2	38	0	0	0	0	0	0	1	10	0	0
4321	13	0	11	10	2	1	0	0	0	3	9	0	1	0	0	0	0	4	5	0	0
4390	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
4392	5	1	1	2	1	0	0	0	2	0	2	0	0	0	0	0	0	0	2	0	0
4393	10	3	31	9	0	0	1	0	4	1	21	0	0	0	0	0	0	0	10	0	0
4450	14	0	10	4	0	0	0	0	1	2	15	0	0	0	0	0	0	2	6	0	1
4452	73	1	120	14	0	2	2	0	7	27	18	0	0	0	0	0	0	116	26	0	0
4454	2	2	7	4	0	0	0	0	0	2	22	0	0	1	0	0	0	2	10	0	2
4472	15	0	8	6	0	0	1	0	0	20	2	0	0	0	0	0	0	29	4	0	0
4475	0	1	2	3	1	0	0	0	5	5	16	0	0	0	0	0	0	4	5	0	0
4477	9	4	26	4	0	0	1	0	3	21	9	0	0	0	0	0	0	43	6	0	0
4757	5	3	2	2	1	0	1	0	1	0	4	0	0	0	0	0	0	0	2	0	0
4782	2	0	2	1	0	0	0	0	0	7	7	0	0	0	0	0	0	76	5	0	0
4785	8	1	2	3	2	6	0	0	1	2	5	0	2	0	0	0	0	27	3	0	0
4788	6	2	19	6	1	0	0	0	2	2	4	1	0	0	0	0	0	32	4	0	0
4826	13	0	29	8	0	0	1	0	1	61	5	0	0	0	0	0	0	141	17	0	0
4828	1	1	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	2	0	0	0
4832	4	0	4	1	0	1	0	0	4	6	2	0	0	0	0	0	0	8	1	0	0
4884	22	3	15	3	0	0	0	0	4	4	25	0	0	0	0	0	0	3	10	0	0
4885	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
4909	1	0	2	0	14	6	1	0	0	12	1	0	0	0	0	0	0	74	0	0	0
4910	9	0	23	2	0	1	0	0	0	45	3	0	0	0	0	0	0	81	10	0	0
4926	25	7	35	8	0	0	0	0	1	14	30	0	0	0	0	0	0	16	12	0	0
4928	29	3	47	9	1	1	0	0	5	38	24	0	0	0	0	0	0	182	36	0	0
4929	21	2	8	2	0	1	0	0	0	5	7	0	0	0	0	0	0	11	4	0	0
4943	38	4	25	11	2	0	0	0	5	1	5	0	0	0	0	0	0	8	8	0	0
4945	3	1	2	3	1	1	0	0	0	0	1	0	0	0	0	0	0	19	2	0	0
4947	2	0	3	2	0	1	0	0	0	18	6	0	0	0	0	0	0	18	2	0	0
5009	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0
