1	283352	250.88	1 	2 
2	24346	44.28	2 	4 
3	360516	655.63	1 	2 
4	104932	190.83	2 	3 
5	121449	220.86	2 	3 
6	98888	67.62	2 	4 
7	78079	119.57	2 	4 
8	253110	173.07	2 	3 
9	59323	107.88	2 	4 
10	149090	185	2 	3 
11	178994	222.11	2 	3 
12	82403	245.16	1 	2 
13	122272	109.77	2 	4 
14	84664	146.57	2 	3 
15	75507	51.63	2 	4 
16	97630	149.51	2 	3 
17	98094	86.71	2 	4 
18	108582	152.63	2 	3 
19	46865	81.13	2 	4 
20	77968	119.4	2 	4 
21	276547	502.92	1 	2 
22	89776	267.1	1 	2 
23	46355	65.02	2 	4 
24	153203	133.17	2 	4 
25	67415	94.76	2 	4 
26	193777	171.57	2 	3 
27	72730	125.91	2 	4 
28	66285	197.21	2 	3 
29	36544	55.96	2 	4 
30	361185	276.01	1 	2 
31	107130	194.82	2 	3 
32	139845	196.16	2 	3 
33	136814	76.07	2 	4 
34	149141	132.05	2 	4 
35	80104	54.77	2 	4 
36	132038	240.12	2 	3 
37	52808	47.41	2 	4 
38	121164	107.28	2 	4 
39	104162	57.91	2 	4 
40	56628	98.04	2 	4 
41	144668	263.09	1 	2 
42	147329	267.93	1 	2 
43	129267	235.08	2 	3 
44	125634	111.05	2 	4 
45	81854	114.81	2 	4 
46	65389	49.97	2 	4 
47	87401	77.26	2 	4 
48	92505	114.79	2 	4 
49	76916	139.88	2 	4 
50	137321	119.37	2 	4 
51	80896	113.47	2 	4 
52	64896	193.08	2 	3 
53	71162	129.41	2 	4 
54	371856	206.75	2 	3 
55	77710	119	2 	4 
56	124954	155.05	2 	3 
57	73757	127.69	2 	4 
58	60533	85.09	2 	4 
59	34749	53.21	2 	4 
60	176938	135.21	2 	4 
61	232503	326.13	1 	2 
62	100480	124.68	2 	4 
63	111185	79.89	2 	4 
64	80726	123.62	2 	4 
65	59567	108.33	2 	4 
66	74994	223.12	2 	3 
67	51606	35.29	3 	5 
68	84640	75.98	2 	4 
69	112671	77.04	2 	4 
70	369032	671.11	1 	2 
71	85870	106.55	2 	4 
72	122669	108.43	2 	4 
73	62388	47.67	2 	4 
74	89615	49.83	2 	4 
75	100444	141.19	2 	4 
76	174672	317.65	1 	2 
77	33658	30.22	3 	5 
78	90334	112.09	2 	4 
79	37057	33.27	3 	5 
80	172284	95.79	2 	4 
81	165297	300.61	1 	2 
82	156276	239.32	2 	3 
83	152725	233.88	2 	3 
84	92915	130.61	2 	4 
85	127936	111.21	2 	4 
86	165452	232.08	2 	3 
87	213845	388.89	1 	2 
88	59085	175.79	2 	3 
89	105613	131.05	2 	4 
90	113751	100.55	2 	4 
91	69710	97.99	2 	4 
92	73230	126.78	2 	4 
93	84183	153.09	2 	3 
94	55223	77.46	2 	4 
95	155856	106.57	2 	4 
96	27251	33.81	3 	5 
97	146776	254.1	1 	2 
98	33627	22.99	3 	5 
99	65256	57.78	2 	4 
100	161438	110.39	2 	4 
101	102564	90.66	2 	4 
102	71511	109.51	2 	4 
103	98267	70.61	2 	4 
104	186012	338.28	1 	2 
105	139328	77.47	2 	4 
106	94351	82.02	2 	4 
107	120084	107.8	2 	4 
108	204564	113.74	2 	4 
109	112400	158	2 	3 
110	82477	74.04	2 	4 
111	62589	47.83	2 	4 
112	194825	139.99	2 	4 
113	344434	304.96	1 	2 
114	73328	64.82	2 	4 
115	192554	238.93	2 	3 
116	93330	63.82	2 	4 
117	75272	115.27	2 	4 
118	185991	164.67	2 	3 
119	256218	359.39	1 	2 
120	95382	118.36	2 	4 
121	129035	114.06	2 	4 
122	51883	89.82	2 	4 
123	41626	28.46	3 	5 
124	94279	64.47	2 	4 
125	62519	113.7	2 	4 
126	146237	265.94	1 	2 
127	57861	39.56	3 	5 
128	177468	322.74	1 	2 
129	292750	259.2	1 	2 
130	28457	21.75	3 	5 
131	127347	70.81	2 	4 
132	57931	172.35	1 	2 
133	36281	51	2 	4 
134	97917	137.64	2 	4 
135	40722	36.56	3 	5 
136	100548	182.85	2 	3 
137	49360	146.85	2 	3 
138	112498	80.84	2 	4 
139	97171	136.59	2 	4 
140	92288	80.22	2 	4 
141	118708	103.19	2 	4 
142	172397	123.88	2 	4 
143	106164	148.91	2 	3 
144	87901	78.91	2 	4 
145	120217	86.38	2 	4 
146	44011	30.09	3 	5 
147	34288	52.51	2 	4 
148	104945	190.85	2 	4 
149	24487	42.39	3 	5 
150	68485	59.53	2 	4 
151	118323	65.79	2 	4 
152	54329	30.21	3 	5 
153	37408	68.03	2 	4 
154	72898	216.88	2 	3 
155	110060	200.15	2 	3 
156	221327	402.5	1 	2 
157	74633	114.29	2 	4 
158	277934	246.08	1 	2 
159	59551	103.1	2 	4 
160	165877	146.87	2 	3 
161	34877	49.03	2 	4 
162	61042	181.61	2 	3 
163	74409	64.68	2 	4 
164	167687	114.66	2 	4 
165	39756	34.56	3 	5 
166	70819	63.58	2 	4 
167	206017	374.66	1 	2 
168	81537	148.28	2 	3 
169	108264	82.73	2 	4 
170	67735	58.88	2 	4 
171	128647	92.44	2 	4 
172	229925	165.22	2 	3 
173	118872	167.09	2 	3 
174	70195	87.1	2 	4 
175	120920	86.89	2 	4 
176	112507	204.6	2 	3 
177	89163	68.14	2 	4 
178	29173	44.67	2 	4 
179	240185	133.54	2 	4 
180	189604	167.87	2 	3 
181	106830	92.86	2 	4 
182	103989	92.07	2 	4 
183	172864	242.47	2 	3 
184	110552	201.05	2 	3 
185	127512	70.9	2 	4 
186	184486	335.5	1 	2 
187	137625	250.28	1 	2 
188	85769	120.56	2 	4 
